id,name,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,price,weekly_price,monthly_price,number_of_reviews,first_review,review_scores_rating,first_year
31527453,Modern apartment by Lake close to Wrigley Field,0.0,Uptown,41.96884,-87.66164,Entire home/apt,189.0,1326.6346153846155,5748.75,4,2019-03-10,90.0,2019
31545954,"3 BDR Downtown Luxury Loft-Spacious, Safe & Secure",0.0,Loop,41.88572,-87.63536,Entire home/apt,499.0,3502.596153846154,15177.916666666666,22,2019-01-19,100.0,2019
31555768,Casa Anita,1.0,Douglas,41.82969,-87.6211,Private room,25.0,175.48076923076923,760.4166666666666,9,2019-02-09,100.0,2019
31564828,Charming Book Lover’s Studio!,0.0,Edgewater,41.98017,-87.65671,Entire home/apt,62.0,435.1923076923077,1885.8333333333333,14,2019-01-31,100.0,2019
31565407,"DePaul 2 BDR - Walk to Train, University, and More",0.0,Lincoln Park,41.92651,-87.65303,Entire home/apt,85.0,596.6346153846154,2585.4166666666665,8,2019-01-17,88.0,2019
31566197,"Windy City Wanderer - DePaul, Train, Wrigley Field",0.0,Lincoln Park,41.92713,-87.65517,Entire home/apt,85.0,596.6346153846154,2585.4166666666665,15,2019-01-19,91.0,2019
31567604,Spacious 1 BR close by Chicago downtown,1.0,Lower West Side,41.8576,-87.6479,Private room,15.0,105.28846153846153,456.25,21,2019-01-23,95.0,2019
31572182,2 Bed 2 Bath in Rogers Park neighborhood,0.0,Rogers Park,42.00526,-87.66342,Entire home/apt,80.0,561.5384615384615,2433.3333333333335,4,2019-04-22,80.0,2019
31579399,2 bedroom w/Private Bath & Skyline Views,1.0,Humboldt Park,41.8992,-87.70597,Private room,45.0,315.86538461538464,1368.75,13,2019-02-03,100.0,2019
31596600,4 BDR Penthouse - Featured on HGTV! Amazing Views!,0.0,Lincoln Park,41.92721,-87.65108,Entire home/apt,179.0,1256.4423076923076,5444.583333333333,13,2019-02-03,86.0,2019
31601414,Beautiful Newly Renovated Room in Lincoln Square,0.0,Lincoln Square,41.9774,-87.6864,Private room,26.0,182.5,790.8333333333334,6,2019-01-25,84.0,2019
31618117,Loyola Area/north Chicago,0.0,Edgewater,41.99749,-87.6631,Private room,60.0,421.15384615384613,1825.0,3,2019-03-27,100.0,2019
31620713,CHICAGO Lincoln Sq- Cute/Cozy Coach Hse! .03 to EL,1.0,North Center,41.95536,-87.67927,Entire home/apt,91.0,638.75,2767.9166666666665,4,2019-02-21,95.0,2019
31622289,Your Chicago home away from home.,0.0,Avondale,41.93976,-87.70309,Entire home/apt,125.0,877.4038461538462,3802.0833333333335,8,2019-03-17,100.0,2019
31622723,Luxurious Getaway in Gold Coast,0.0,Near North Side,41.90821,-87.6275,Entire home/apt,150.0,1052.8846153846155,4562.5,8,2019-02-17,100.0,2019
31626251,Beautiful Stay Alfred in The Gold Coast,0.0,Near North Side,41.8995,-87.62094,Entire home/apt,999.0,7012.211538461538,30386.25,1,2019-04-14,100.0,2019
31630602,Queen White Room (+Complimentary Bikes),0.0,Near West Side,41.86549,-87.65487,Private room,89.0,624.7115384615385,2707.0833333333335,7,2019-03-31,100.0,2019
31636434,"2 BR South Loop Condo, by lake/ McCormick/Wintrust",0.0,Douglas,41.83714,-87.62107,Entire home/apt,100.0,701.9230769230769,3041.6666666666665,11,2019-02-18,96.0,2019
31637525,Trains downtown in 3 stops. Walk to IIT. Parking.,0.0,Douglas,41.83057,-87.62145,Private room,32.0,224.6153846153846,973.3333333333334,2,2019-03-01,100.0,2019
31640321,Stylish & Convenient Wrigleyville 3 Bedroom,0.0,Lake View,41.95051,-87.66113,Entire home/apt,107.0,751.0576923076923,3254.5833333333335,8,2019-02-08,98.0,2019
31640920,Chicago home away from home,0.0,Brighton Park,41.821,-87.70394,Entire home/apt,89.0,624.7115384615385,2707.0833333333335,10,2019-02-17,98.0,2019
31642679,The JordanBleu in Lakeview.,1.0,Lake View,41.94432,-87.64853,Private room,40.0,280.7692307692308,1216.6666666666667,6,2019-01-28,97.0,2019
31644790,No Place Like Home,1.0,East Garfield Park,41.87095,-87.69722,Entire home/apt,133.0,933.5576923076923,4045.4166666666665,13,2019-01-27,98.0,2019
31645901,SWING NOTE - Hip Micro Studio with Private Deck,1.0,Uptown,41.97036,-87.65631,Entire home/apt,350.0,2456.730769230769,10645.833333333334,2,2019-04-22,100.0,2019
31645907,LOUIS LOUNGE - Instaworthy Getaway in Uptown,1.0,Uptown,41.97038,-87.65491,Entire home/apt,350.0,2456.730769230769,10645.833333333334,2,2019-04-27,80.0,2019
31645922,LADY LUCK - Luxe Studio Loft in Historic Uptown,1.0,Uptown,41.9696,-87.65627,Entire home/apt,350.0,2456.730769230769,10645.833333333334,7,2019-04-11,100.0,2019
31645931,MELLOW MELODY - Gorgeous Loft Studio in Hip Uptown,1.0,Uptown,41.96876,-87.65697,Entire home/apt,350.0,2456.730769230769,10645.833333333334,2,2019-04-21,100.0,2019
